City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tumaco,CO,1.7986,-78.8156,78.24,88,98,4.54,light rain
1,Livingstonia,MW,-10.606,34.1063,66.67,86,100,3.2,light rain
2,Fairbanks,US,64.8378,-147.7164,-7.01,77,1,11.5,clear sky
3,Souillac,MU,-20.5167,57.5167,78.8,83,75,6.91,light rain
4,Jian,CN,27.1172,114.9793,50.4,83,100,7.29,overcast clouds
5,Saltpond,GH,5.2091,-1.0606,81.16,83,28,13.29,scattered clouds
6,Ixtapa,MX,20.7,-105.2,75.2,64,1,11.5,clear sky
7,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,77,40,12.5,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,80.6,83,75,10.36,broken clouds
9,Albany,US,42.6001,-73.9662,24.01,46,85,1.23,overcast clouds
10,Busselton,AU,-33.65,115.3333,55.99,92,89,1.01,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,66.2,55,0,11.5,clear sky
12,Cabedelo,BR,-6.9811,-34.8339,80.6,78,20,10.36,few clouds
13,Stokmarknes,NO,68.5646,14.9108,28.99,62,89,15.01,overcast clouds
14,Kenai,US,60.5544,-151.2583,12.0,78,1,3.44,clear sky
15,Merauke,ID,-8.4667,140.3333,80.8,83,100,7.11,overcast clouds
16,Esperance,AU,-33.8667,121.9,59.0,94,75,5.75,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,77.58,69,22,4.32,light rain
18,Castro,BR,-24.7911,-50.0119,66.06,78,33,3.13,scattered clouds
19,Ternate,ID,0.8,127.4,81.0,78,96,4.25,overcast clouds
20,Inirida,CO,3.8653,-67.9239,84.0,74,86,1.5,overcast clouds
21,Alta Floresta,BR,-9.8756,-56.0861,75.7,93,100,1.92,overcast clouds
22,Vaini,TO,-21.2,-175.2,80.6,94,90,12.66,moderate rain
23,Bhongir,IN,17.5108,78.8889,64.4,63,67,3.44,broken clouds
24,Cape Town,ZA,-33.9258,18.4232,70.0,88,20,23.02,few clouds
25,Mataura,NZ,-46.1927,168.8643,55.42,95,100,5.77,light rain
26,Ribeira Grande,PT,38.5167,-28.7,60.8,82,40,17.27,scattered clouds
27,East London,ZA,-33.0153,27.9116,68.97,77,26,5.41,scattered clouds
28,Butaritari,KI,3.0707,172.7902,81.81,83,80,20.18,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,20.32,80,100,6.67,overcast clouds
30,Carnarvon,AU,-24.8667,113.6333,73.4,100,0,12.66,clear sky
31,Kuna,US,43.4918,-116.4201,43.0,36,1,12.66,clear sky
32,Madinat Sittah Uktubar,EG,29.8167,31.05,71.6,40,40,2.3,haze
33,Deputatskiy,RU,69.3,139.9,-21.53,88,1,3.02,clear sky
34,Bilibino,RU,68.0546,166.4372,4.35,81,100,6.67,overcast clouds
35,Lebu,CL,-37.6167,-73.65,63.66,82,48,9.15,scattered clouds
36,Kapoeta,SS,4.7717,33.5903,80.2,35,30,10.42,scattered clouds
37,Vao,NC,-22.6667,167.4833,77.22,82,14,6.58,few clouds
38,Hilo,US,19.7297,-155.09,82.4,47,20,3.44,few clouds
39,Hermanus,ZA,-34.4187,19.2345,64.0,90,8,4.85,clear sky
40,Hays,US,30.0502,-98.0336,77.0,50,40,16.11,scattered clouds
41,Karpathos,GR,35.507,27.2132,59.0,94,24,3.44,few clouds
42,Ahuimanu,US,21.4447,-157.8378,80.6,44,1,19.57,clear sky
43,Dillon,US,34.4166,-79.3712,60.01,62,90,4.61,overcast clouds
44,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
45,Rundu,NA,-17.9333,19.7667,67.53,93,100,7.81,light rain
46,Ponta Do Sol,PT,32.6667,-17.1,59.0,70,23,3.0,few clouds
47,Vila Velha,BR,-20.3297,-40.2925,78.01,94,75,3.44,broken clouds
48,Atar,MR,20.5169,-13.0499,64.31,27,0,9.55,clear sky
49,Ayan,RU,56.45,138.1667,-4.23,79,100,16.64,overcast clouds
50,Sao Filipe,CV,14.8961,-24.4956,70.11,77,100,12.39,overcast clouds
51,Auki,SB,-8.7676,160.7034,81.12,83,99,10.09,light rain
52,Tiksi,RU,71.6872,128.8694,-26.27,87,100,4.43,overcast clouds
53,Nikolskoye,RU,59.7035,30.7861,7.0,84,0,3.06,clear sky
54,Kudahuvadhoo,MV,2.6708,72.8944,81.97,79,78,20.62,broken clouds
55,Cornwall,CA,45.0181,-74.7281,19.4,53,90,5.75,overcast clouds
56,Barrow,US,71.2906,-156.7887,-29.2,84,1,11.5,clear sky
57,Anadyr,RU,64.75,177.4833,10.4,72,40,20.13,snow
58,Bluff,NZ,-46.6,168.3333,56.39,94,100,10.74,overcast clouds
59,Tasiilaq,GL,65.6145,-37.6368,23.0,54,90,11.5,overcast clouds
60,Bethel,US,41.3712,-73.414,26.01,39,1,3.44,clear sky
