City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,53.6,71,75,9.22,AU,2021-02-08 20:27:26
1,Ipora,-16.4419,-51.1178,78.58,75,2,3.0,BR,2021-02-08 20:27:26
2,Pisco,-13.7,-76.2167,77.0,69,0,8.05,PE,2021-02-08 20:27:26
3,Saint George,37.1041,-113.5841,61.0,20,1,2.93,US,2021-02-08 20:27:26
4,Puerto Ayora,-0.7393,-90.3518,81.0,78,75,8.05,EC,2021-02-08 20:27:26
5,Jutai,-5.1833,-68.9,84.67,75,100,2.37,BR,2021-02-08 20:27:27
6,Antalaha,-14.9003,50.2788,77.05,85,89,3.51,MG,2021-02-08 20:27:27
7,Chumikan,54.7183,135.315,-2.63,84,97,23.04,RU,2021-02-08 20:27:27
8,Mataura,-46.1927,168.8643,60.91,77,100,0.92,NZ,2021-02-08 20:27:27
9,Rikitea,-23.1203,-134.9692,77.52,70,39,7.65,PF,2021-02-08 20:27:27
10,Nabire,-3.3667,135.4833,75.99,92,100,3.42,ID,2021-02-08 20:27:27
11,Punta Arenas,-53.15,-70.9167,69.8,46,0,21.85,CL,2021-02-08 20:27:28
12,Bambous Virieux,-20.3428,57.7575,78.8,78,40,6.91,MU,2021-02-08 20:27:29
13,Bluff,-46.6,168.3333,57.38,96,100,10.71,NZ,2021-02-08 20:27:29
14,Lebu,-37.6167,-73.65,64.33,79,62,8.32,CL,2021-02-08 20:27:16
15,Barrow,71.2906,-156.7887,-34.6,84,1,10.36,US,2021-02-08 20:27:29
16,Port Alfred,-33.5906,26.891,66.99,87,41,7.2,ZA,2021-02-08 20:27:29
17,Busselton,-33.65,115.3333,55.99,98,79,8.52,AU,2021-02-08 20:22:50
18,Carnarvon,-24.8667,113.6333,75.2,100,0,17.27,AU,2021-02-08 20:27:21
19,Moindou,-21.6924,165.677,73.4,100,0,1.14,NC,2021-02-08 20:27:29
20,Qaanaaq,77.484,-69.3632,20.59,80,100,6.08,GL,2021-02-08 20:27:29
21,Lagoa,39.05,-27.9833,59.41,74,100,24.38,PT,2021-02-08 20:27:29
22,Kenai,60.5544,-151.2583,6.01,78,1,3.44,US,2021-02-08 20:27:21
23,Maldonado,-34.6667,-54.9167,71.01,78,75,11.5,UY,2021-02-08 20:27:29
24,Butaritari,3.0707,172.7902,81.72,82,72,19.37,KI,2021-02-08 20:27:29
25,Pevek,69.7008,170.3133,-11.92,83,100,1.7,RU,2021-02-08 20:27:12
26,Leningradskiy,69.3833,178.4167,-22.22,84,64,10.25,RU,2021-02-08 20:27:33
27,Isangel,-19.55,169.2667,75.2,100,20,5.23,VU,2021-02-08 20:27:33
28,Kapaa,22.0752,-159.319,75.0,56,1,12.66,US,2021-02-08 20:27:33
29,Xining,36.6167,101.7667,24.44,65,0,1.03,CN,2021-02-08 20:27:33
30,Kyzyl,51.7,94.45,7.18,91,98,1.03,RU,2021-02-08 20:27:33
31,Atuona,-9.8,-139.0333,79.74,76,62,21.5,PF,2021-02-08 20:27:33
32,La Romana,18.4273,-68.9728,87.8,51,40,9.22,DO,2021-02-08 20:27:33
33,Cleveland,41.4995,-81.6954,24.8,63,90,3.44,US,2021-02-08 20:23:03
34,Hobart,-42.8794,147.3294,53.6,71,75,9.22,AU,2021-02-08 20:27:34
